PROV,KAB,VPDDKN,VKSHTN,VEKNM,VENRG,VAIRBS,VKOMIN,VSARTRANS,VAKSTRANS,VKESMAS,VOR,VMNDR,VKSDM
MALUKU UTARA,TIDORE KEPULAUAN,72.048,49.356,11.074,56.255,62.265,29.128,73.060,85.622,96.255,14.832,44.866,53.478
MALUKU UTARA,HALMAHERA TENGAH,71.741,55.288,12.012,41.185,54.728,24.698,63.956,76.590,91.346,16.840,49.227,63.215
MALUKU UTARA,HALMAHERA UTARA,55.602,45.002,11.769,45.134,58.029,29.543,73.227,82.804,87.711,14.397,46.590,63.757
MALUKU UTARA,HALMAHERA TIMUR,58.315,40.087,12.638,44.032,54.817,26.970,70.418,87.837,80.718,14.554,56.799,67.648
MALUKU UTARA,HALMAHERA BARAT,66.715,40.402,11.100,44.628,58.479,26.590,62.186,84.486,78.515,18.303,49.984,62.402
MALUKU UTARA,KEPULAUAN SULA,69.691,41.120,8.817,31.359,59.779,21.906,59.974,76.627,94.051,13.837,45.560,65.028
MALUKU UTARA,PULAU MOROTAI,51.756,39.854,8.025,36.416,57.606,19.644,57.012,83.848,78.574,20.855,32.242,66.228
MALUKU UTARA,HALMAHERA SELATAN,56.050,29.783,8.565,33.533,50.667,22.478,45.840,81.588,86.795,12.155,42.569,60.517
MALUKU UTARA,PULAU TALIABU,54.849,23.664,9.144,19.909,51.922,11.146,39.584,76.485,89.765,21.408,37.612,63.324
