PROV,KAB,VPDDKN,VKSHTN,VEKNM,VENRG,VAIRBS,VKOMIN,VSARTRANS,VAKSTRANS,VKESMAS,VOR,VMNDR,VKSDM
BENGKULU,KEPAHIANG,56.240,66.340,11.332,73.352,59.644,37.982,80.323,83.168,92.438,23.645,37.268,67.925
BENGKULU,REJANG LEBONG,56.685,64.784,11.682,70.509,59.314,37.701,71.164,85.615,93.016,27.326,50.002,62.134
BENGKULU,MUKO MUKO,65.120,55.674,15.210,63.078,66.030,37.641,56.183,89.647,96.466,35.713,61.103,70.243
BENGKULU,BENGKULU SELATAN,59.211,62.384,9.226,66.792,58.170,34.214,82.087,86.710,94.387,21.201,42.193,54.205
BENGKULU,LEBONG,59.428,57.504,11.788,81.013,50.973,33.925,73.237,79.243,93.990,21.503,47.441,66.840
BENGKULU,BENGKULU UTARA,56.446,58.725,13.351,53.326,65.034,37.898,56.337,84.709,94.626,26.843,60.595,65.990
BENGKULU,BENGKULU TENGAH,53.908,58.418,13.281,45.593,52.435,37.222,57.007,89.702,88.784,26.542,48.487,67.691
BENGKULU,SELUMA,54.091,54.169,10.885,49.591,58.386,31.157,58.215,90.940,93.289,27.830,39.916,63.740
BENGKULU,KAUR,58.912,50.060,11.432,52.916,57.273,35.700,69.880,83.842,92.646,19.862,35.710,69.042
