PROV,KAB,VPDDKN,VKSHTN,VEKNM,VENRG,VAIRBS,VKOMIN,VSARTRANS,VAKSTRANS,VKESMAS,VOR,VMNDR,VKSDM
GORONTALO,PAHUWATO,71.606,53.082,19.661,79.801,73.008,43.671,74.986,83.331,89.440,30.678,63.562,72.041
GORONTALO,BOALEMO,71.571,55.650,16.524,68.418,64.203,38.628,79.808,84.977,91.090,32.226,70.017,66.782
GORONTALO,GORONTALO,69.824,59.999,14.703,67.370,60.235,38.954,77.622,85.698,81.163,28.313,77.738,63.482
GORONTALO,BONE BOLANGO,66.617,59.509,13.670,68.976,57.161,36.315,72.804,79.330,83.753,13.378,55.401,69.876
GORONTALO,GORONTALO UTARA,67.366,46.048,14.366,60.579,55.833,32.483,79.156,86.776,90.718,10.277,56.178,56.301
