PROV,KAB,VPDDKN,VKSHTN,VEKNM,VENRG,VAIRBS,VKOMIN,VSARTRANS,VAKSTRANS,VKESMAS,VOR,VMNDR,VKSDM,CLASS
DIY,BANTUL,72.071,84.474,35.292,89.818,69.167,65.798,83.232,81.863,84.188,60.033,92.144,74.139,Mandiri
DIY,SLEMAN,70.335,85.214,40.656,94.365,67.335,69.080,68.336,78.750,89.868,59.291,93.030,77.354,Berkembang
DIY,KULON PROGO,73.509,79.861,26.496,77.034,66.401,51.871,77.649,83.868,80.269,39.532,89.964,63.633,Berkembang
DIY,GUNUNG KIDUL,71.395,78.968,26.414,70.321,65.227,52.262,74.743,86.457,88.608,42.753,82.287,68.671,Berkembang
