PROV,KAB,VPDDKN,VKSHTN,VEKNM,VENRG,VAIRBS,VKOMIN,VSARTRANS,VAKSTRANS,VKESMAS,VOR,VMNDR,VKSDM
KALIMANTAN UTARA,BULUNGAN,58.071,49.427,13.184,53.100,46.555,31.456,56.786,88.448,88.954,30.814,61.302,54.925
KALIMANTAN UTARA,TANA TIDUNG,47.198,56.414,11.282,45.156,42.958,31.972,59.446,75.757,98.706,37.852,45.570,56.628
KALIMANTAN UTARA,MALINAU,42.152,55.112,9.099,38.769,45.328,21.735,42.224,72.498,94.746,29.151,56.238,62.606
KALIMANTAN UTARA,NUNUKAN,36.359,29.585,5.788,30.683,35.011,20.816,35.871,86.403,89.206,15.461,29.965,56.260
