PROV,KAB,VPDDKN,VKSHTN,VEKNM,VENRG,VAIRBS,VKOMIN,VSARTRANS,VAKSTRANS,VKESMAS,VOR,VMNDR,VKSDM
NTB,LOMBOK UTARA,72.237,71.608,24.850,71.536,60.645,44.223,74.522,87.484,93.727,31.515,79.086,77.700
NTB,LOMBOK BARAT,71.467,72.443,20.002,82.346,61.241,46.800,73.531,81.110,87.467,30.082,68.310,70.358
NTB,LOMBOK TENGAH,77.520,72.677,17.019,71.910,60.869,46.293,67.185,87.316,90.575,28.492,71.578,73.610
NTB,SUMBAWA BARAT,72.122,64.648,15.797,70.939,76.986,41.486,74.874,84.503,90.945,34.079,69.844,69.897
NTB,LOMBOK TIMUR,76.125,66.681,15.503,87.903,62.223,45.229,66.025,85.774,88.005,28.633,73.820,75.752
NTB,SUMBAWA ,66.367,61.853,14.249,67.217,62.844,42.767,83.479,87.316,92.748,39.608,78.890,61.510
NTB,DOMPU,73.879,56.764,13.930,55.913,62.158,46.581,86.703,88.854,87.063,25.000,68.033,69.780
NTB,BIMA,73.599,57.747,11.419,50.293,69.241,41.181,78.731,90.119,86.689,20.467,66.782,74.160
