PROV,KAB,VPDDKN,VKSHTN,VEKNM,VENRG,VAIRBS,VKOMIN,VSARTRANS,VAKSTRANS,VKESMAS,VOR,VMNDR,VKSDM,CLASS
SULAWESI BARAT,MAMUJU UTARA,67.658,61.218,16.043,53.161,59.042,33.614,70.127,91.493,91.513,32.937,67.774,67.121,Berkembang
SULAWESI BARAT,POLEWALI MANDAR,62.101,53.603,10.972,56.771,52.023,33.807,75.476,89.731,95.122,27.066,62.820,64.923,Berkembang
SULAWESI BARAT,MAJENE,67.864,51.746,13.448,54.120,44.583,30.532,74.775,91.883,89.483,28.238,57.659,60.074,Berkembang
SULAWESI BARAT,MAMUJU TENGAH,67.456,32.707,13.091,56.841,60.905,36.645,62.629,90.512,93.818,31.741,64.699,74.594,Berkembang
SULAWESI BARAT,MAMUJU,61.126,32.959,11.231,45.368,45.843,21.022,60.478,89.061,95.279,30.770,58.940,68.765,Tertinggal
SULAWESI BARAT,MAMASA,65.567,45.381,8.070,31.884,37.136,17.022,50.005,82.998,97.844,14.274,57.296,69.526,Tertinggal
