PROV,KAB,VPDDKN,VKSHTN,VEKNM,VENRG,VAIRBS,VKOMIN,VSARTRANS,VAKSTRANS,VKESMAS,VOR,VMNDR,VKSDM,CLASS
KALIMANTAN TIMUR,PENAJAM PASER UTARA,62.749,68.744,18.416,70.142,79.545,48.178,70.432,95.302,93.837,46.633,70.466,68.801,Berkembang
KALIMANTAN TIMUR,KUTAI KARTANEGARA,64.401,62.954,18.309,78.047,68.300,43.221,58.288,88.950,91.057,38.328,64.841,68.664,Berkembang
KALIMANTAN TIMUR,PASER,54.289,65.796,17.536,72.545,55.794,33.626,55.303,92.592,91.589,34.802,66.256,54.597,Berkembang
KALIMANTAN TIMUR,KUTAI TIMUR,58.878,61.866,21.677,63.236,59.272,39.750,48.731,83.044,92.575,37.043,61.598,66.480,Berkembang
KALIMANTAN TIMUR,BERAU,47.443,64.918,11.461,52.994,49.187,29.645,47.720,89.161,95.015,36.846,60.925,57.529,Berkembang
KALIMANTAN TIMUR,KUTAI BARAT,52.583,55.624,12.179,53.579,52.845,28.749,50.461,91.762,95.606,30.671,60.459,66.233,Berkembang
KALIMANTAN TIMUR,MAHAKAM ULU,57.928,39.949,13.238,36.399,31.234,19.146,46.051,62.048,95.501,13.865,61.518,65.601,Tertinggal
