PROV,KAB,VPDDKN,VKSHTN,VEKNM,VENRG,VAIRBS,VKOMIN,VSARTRANS,VAKSTRANS,VKESMAS,VOR,VMNDR,VKSDM,CLASS
BALI,DENPASAR,67.712,86.740,57.911,100.000,97.283,70.079,72.661,73.947,99.285,46.464,69.995,75.857,Mandiri
BALI,BADUNG,63.817,81.129,34.622,98.169,90.970,53.989,72.953,87.154,93.764,46.413,76.761,82.439,Berkembang
BALI,GIANYAR,62.194,81.381,41.545,91.921,79.923,55.232,64.960,77.931,95.927,40.110,68.759,76.815,Berkembang
BALI,BULELENG,63.015,73.643,30.500,89.172,67.703,48.591,76.514,92.126,94.349,38.093,70.941,66.886,Berkembang
BALI,KARANGASEM,63.668,74.993,30.641,82.255,62.500,45.726,88.732,88.523,95.584,28.707,66.423,70.830,Berkembang
BALI,KLUNGKUNG,65.575,75.555,21.949,79.645,74.708,46.898,84.451,81.645,99.636,26.340,71.929,76.531,Berkembang
BALI,TABANAN,57.876,76.424,24.088,75.158,79.742,47.114,75.435,88.854,98.288,26.470,70.886,77.958,Berkembang
BALI,JEMBRANA,65.112,74.490,23.234,90.754,71.799,49.188,73.179,86.678,95.456,29.872,68.878,75.124,Berkembang
BALI,BANGLI,54.756,71.093,21.640,70.903,48.924,45.665,56.681,93.061,93.122,28.327,67.526,76.354,Berkembang
