PROV,KAB,VPDDKN,VKSHTN,VEKNM,VENRG,VAIRBS,VKOMIN,VSARTRANS,VAKSTRANS,VKESMAS,VOR,VMNDR,VKSDM,CLASS
BANGKA BELITUNG,BANGKA,57.464,66.737,16.638,77.971,67.935,52.751,85.346,92.522,93.905,45.302,69.818,66.452,Berkembang
BANGKA BELITUNG,BELITUNG,47.086,71.341,17.959,78.333,70.859,49.730,77.607,88.749,97.636,42.321,74.656,64.477,Berkembang
BANGKA BELITUNG,BELITUNG TIMUR,54.903,60.984,24.666,82.278,69.947,56.519,78.855,85.665,94.994,38.160,75.772,70.258,Berkembang
BANGKA BELITUNG,BANGKA TENGAH,55.645,62.634,16.683,87.441,75.694,46.920,79.739,94.593,97.278,41.166,64.238,56.723,Berkembang
BANGKA BELITUNG,BANGKA SELATAN,54.319,63.992,19.313,75.512,62.330,45.457,78.984,94.521,96.937,48.790,62.852,60.004,Berkembang
BANGKA BELITUNG,BANGKA BARAT,51.648,58.499,17.436,91.277,66.401,44.608,77.188,95.386,95.883,47.529,64.812,59.538,Berkembang
